Open,High,Low,Last,Close,Date
210.6,214.9,210.0,213.5,213.8,21-07-1710 A.M.
214.95,215.35,209.9,210.55,210.05,22-07-1710 A.M.
219.0,220.35,213.6,214.2,214.6,23-07-1710 A.M.
219.95,221.05,218.05,218.95,219.1,26-07-1710 A.M.
222.0,223.65,218.85,219.55,219.4,27-07-1710 A.M.
221.75,223.3,219.55,220.75,220.8,28-07-1710 A.M.
221.8,224.9,215.2,220.1,220.05,29-07-1710 A.M.
220.4,220.4,212.4,217.95,218.55,30-07-1710 A.M.
215.55,224.0,215.4,219.05,219.05,02-08-1710 A.M.
211.0,219.6,210.8,215.0,215.4,03-08-1710 A.M.
209.5,213.1,208.6,210.15,210.2,04-08-1710 A.M.
210.6,214.65,209.55,210.1,210.15,05-08-1710 A.M.
209.8,213.5,208.95,211.0,210.1,06-08-1710 A.M.
212.8,213.4,209.5,210.0,210.05,09-08-1710 A.M.
212.0,213.35,210.0,213.3,212.35,10-08-1710 A.M.
213.35,215.7,210.25,212.9,212.4,11-08-1710 A.M.
203.15,213.9,203.0,212.65,212.95,12-08-1710 A.M.
195.0,203.8,195.0,202.85,202.85,13-08-1710 A.M.
203.0,209.6,197.05,197.05,198.2,16-08-1710 A.M.
208.55,209.5,203.3,206.0,206.55,17-08-1710 A.M.
210.5,211.65,207.0,207.0,208.15,18-08-1710 A.M.
209.0,212.5,205.4,212.0,211.7,19-08-1710 A.M.
214.75,216.75,208.8,210.15,209.5,20-08-1710 A.M.
218.5,219.2,214.3,215.15,214.75,23-08-1710 A.M.
216.25,220.6,216.25,217.65,218.65,24-08-1710 A.M.
217.0,220.65,213.9,218.5,218.75,25-08-1710 A.M.
217.4,221.45,215.2,215.65,216.0,26-08-1710 A.M.
218.95,219.95,214.0,217.75,217.75,27-08-1710 A.M.
217.45,218.9,213.0,218.1,217.65,30-08-1710 A.M.
219.0,219.7,214.8,215.75,215.9,31-08-1710 A.M.
215.0,220.45,215.0,219.85,219.0,01-09-1710 A.M.
223.0,224.85,215.0,215.0,215.95,02-09-1710 A.M.
222.0,225.5,221.5,224.1,224.15,03-09-1710 A.M.
221.5,224.25,218.55,222.3,221.8,06-09-1710 A.M.
217.95,222.5,216.7,221.0,221.45,07-09-1710 A.M.
