,Open,High,Low,Last,Close,year,month,day,variacao
0,210.6,214.9,210.0,213.5,213.8,1710,7,21,3.200000000000017
1,214.95,215.35,209.9,210.55,210.05,1710,7,22,-4.899999999999977
2,219.0,220.35,213.6,214.2,214.6,1710,7,23,-4.400000000000006
3,219.95,221.05,218.05,218.95,219.1,1710,7,26,-0.8499999999999943
4,222.0,223.65,218.85,219.55,219.4,1710,7,27,-2.5999999999999943
5,221.75,223.3,219.55,220.75,220.8,1710,7,28,-0.9499999999999886
6,221.8,224.9,215.2,220.1,220.05,1710,7,29,-1.75
7,220.4,220.4,212.4,217.95,218.55,1710,7,30,-1.8499999999999943
8,215.55,224.0,215.4,219.05,219.05,1710,2,8,3.5
9,211.0,219.6,210.8,215.0,215.4,1710,3,8,4.400000000000006
10,209.5,213.1,208.6,210.15,210.2,1710,4,8,0.6999999999999886
11,210.6,214.65,209.55,210.1,210.15,1710,5,8,-0.44999999999998863
12,209.8,213.5,208.95,211.0,210.1,1710,6,8,0.29999999999998295
13,212.8,213.4,209.5,210.0,210.05,1710,9,8,-2.75
14,212.0,213.35,210.0,213.3,212.35,1710,10,8,0.3499999999999943
15,213.35,215.7,210.25,212.9,212.4,1710,11,8,-0.9499999999999886
16,203.15,213.9,203.0,212.65,212.95,1710,12,8,9.799999999999983
17,195.0,203.8,195.0,202.85,202.85,1710,8,13,7.849999999999994
18,203.0,209.6,197.05,197.05,198.2,1710,8,16,-4.800000000000011
19,208.55,209.5,203.3,206.0,206.55,1710,8,17,-2.0
20,210.5,211.65,207.0,207.0,208.15,1710,8,18,-2.3499999999999943
21,209.0,212.5,205.4,212.0,211.7,1710,8,19,2.6999999999999886
22,214.75,216.75,208.8,210.15,209.5,1710,8,20,-5.25
23,218.5,219.2,214.3,215.15,214.75,1710,8,23,-3.75
24,216.25,220.6,216.25,217.65,218.65,1710,8,24,2.4000000000000057
25,217.0,220.65,213.9,218.5,218.75,1710,8,25,1.75
26,217.4,221.45,215.2,215.65,216.0,1710,8,26,-1.4000000000000057
27,218.95,219.95,214.0,217.75,217.75,1710,8,27,-1.1999999999999886
28,217.45,218.9,213.0,218.1,217.65,1710,8,30,0.20000000000001705
29,219.0,219.7,214.8,215.75,215.9,1710,8,31,-3.0999999999999943
30,215.0,220.45,215.0,219.85,219.0,1710,1,9,4.0
31,223.0,224.85,215.0,215.0,215.95,1710,2,9,-7.050000000000011
32,222.0,225.5,221.5,224.1,224.15,1710,3,9,2.1500000000000057
33,221.5,224.25,218.55,222.3,221.8,1710,6,9,0.30000000000001137
34,217.95,222.5,216.7,221.0,221.45,1710,7,9,3.5
35,220.55,221.45,216.5,217.45,217.4,1710,8,9,-3.1500000000000057
36,214.0,221.2,211.8,221.0,219.95,1710,9,9,5.949999999999989
37,211.0,217.0,210.2,214.7,214.7,1710,9,13,3.6999999999999886
38,215.0,215.6,208.55,211.5,209.5,1710,9,14,-5.5
39,215.0,216.55,214.8,215.2,215.2,1710,9,15,0.19999999999998863
40,220.75,221.75,213.15,213.5,213.8,1710,9,16,-6.949999999999989
41,217.5,221.35,217.05,219.75,219.85,1710,9,17,2.3499999999999943
42,220.0,223.5,216.9,217.75,217.65,1710,9,20,-2.3499999999999943
43,218.0,220.5,216.4,217.15,217.75,1710,9,21,-0.25
44,218.2,220.9,205.0,216.8,217.85,1710,9,22,-0.3499999999999943
45,220.9,228.8,219.4,227.95,227.3,1710,9,23,6.400000000000006
46,217.0,221.45,217.0,220.1,220.0,1710,9,24,3.0
47,223.0,223.0,215.75,216.9,217.6,1710,9,27,-5.400000000000006
48,217.9,224.7,216.0,224.4,222.1,1710,9,28,4.199999999999989
49,220.1,221.25,217.05,219.55,219.8,1710,9,29,-0.29999999999998295
50,221.1,222.2,214.75,219.55,218.3,1710,9,30,-2.799999999999983
51,229.45,231.6,222.0,223.05,223.25,1710,1,10,-6.199999999999989
52,230.3,232.7,225.5,227.75,227.2,1710,4,10,-3.1000000000000227
53,237.7,240.8,229.45,231.3,231.1,1710,5,10,-6.599999999999994
54,237.1,237.7,233.05,234.4,235.45,1710,6,10,-1.6500000000000057
55,229.7,237.0,226.8,234.8,234.9,1710,7,10,5.200000000000017
56,226.25,232.35,225.5,228.7,229.1,1710,8,10,2.8499999999999943
57,215.0,229.7,215.0,225.6,224.6,1710,11,10,9.599999999999994
58,215.0,229.65,215.0,228.25,228.4,1710,12,10,13.400000000000006
59,215.5,219.15,209.6,215.0,216.5,1710,10,13,1.0
60,208.0,222.25,206.85,216.0,215.15,1710,10,14,7.150000000000006
61,217.0,218.6,205.9,210.25,209.2,1710,10,15,-7.800000000000011
62,223.5,227.8,216.15,217.25,218.2,1710,10,18,-5.300000000000011
63,230.0,237.5,225.75,226.45,227.6,1710,10,19,-2.4000000000000057
64,234.55,234.6,221.05,230.3,230.9,1710,10,20,-3.6500000000000057
65,234.05,235.95,230.2,233.5,233.75,1710,10,21,-0.30000000000001137
66,234.55,236.8,231.1,233.8,233.25,1710,10,22,-1.3000000000000114
67,240.0,240.0,232.5,235.0,234.25,1710,10,25,-5.75
68,233.3,236.75,232.0,236.25,236.1,1710,10,26,2.799999999999983
69,233.55,239.2,230.75,234.0,233.3,1710,10,27,-0.25
70,235.0,237.0,227.95,233.75,234.6,1710,10,28,-0.4000000000000057
71,235.95,237.2,233.45,234.6,234.9,1710,10,29,-1.049999999999983
72,237.9,239.25,233.5,235.5,235.05,1710,1,11,-2.8499999999999943
